realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
570.0980738023002,0,0,0,2,0,0,0.0,10.0,98.0,1.0,5.301017819,1.5889903587574374,209.63257755897288,14.571793090483984,467.5975223,8.372723823208341,-0.16032,51.46531
297.9844304898986,1,0,2,2,2,1,0.0,10.0,99.0,1.0,2.198945521708927,0.3792620134751389,553.8917442,38.50162977905941,961.472137,17.215960911780712,-0.09683,51.50343
336.7906112561443,1,0,2,2,0,1,0.0,10.0,96.0,1.0,2.322957747905205,0.4531776111181624,428.2878485000106,29.770763610226748,959.0428386552228,17.172462297605247,-0.10554,51.52407
226.72217126461112,1,0,2,2,2,1,0.0,10.0,99.0,1.0,5.707824678781694,1.7239771225914124,195.6947438591781,13.602958803523745,452.2324722569411,8.097599780291983,-0.16575,51.46292
256.35598203156235,1,0,2,3,0,0,0.0,9.0,98.0,1.0,3.2579448035766183,0.8254171819737707,329.4770684492808,22.90231664089296,735.3272802090548,13.16664854460184,-0.12055,51.53728
239.89275382770052,1,0,2,2,0,0,0.0,10.0,100.0,1.0,5.085729916882159,1.806218096836652,226.72496427856257,15.759903858383742,486.7370515714927,8.715433065200003,-0.17241,51.47222
324.09040664173665,1,0,2,2,0,0,0.0,10.0,100.0,1.0,4.595054764045126,0.296878679494108,283.44260808307234,19.70241021747569,682.1867183159497,12.215122440864391,-0.19359,51.51061
155.69510101366447,1,0,2,2,0,1,0.0,10.0,95.0,1.0,5.102453380170875,1.0137060917050809,214.2639621656098,14.8937257738303,453.66812375977366,8.123306318426883,-0.15177,51.46504
129.3539358874856,1,0,2,4,0,1,0.0,9.0,93.0,1.0,4.534040775924722,1.7728061057038318,257.4450143709157,17.89528862962305,541.2169732488285,9.690941524,-0.16972,51.47724
246.0076671605635,0,0,0,3,0,0,1.0,8.0,74.0,1.0,3.746655061028056,0.4175544687909389,332.04494703046385,23.08081273058569,761.6522854241821,13.63801972982952,-0.18085,51.51343
220.1368799830664,0,0,0,2,0,0,1.0,9.0,79.0,1.0,3.7898526960558754,0.3826633767284929,323.64076471845544,22.496628692153777,740.6771722269217,13.262442825389025,-0.18092,51.51536
362.8965874079824,0,0,0,2,0,1,0.0,8.0,83.0,1.0,4.639112714454802,0.4955279764535284,270.0771955434705,18.77336556056282,664.5217614576372,11.898816647826454,-0.19317,51.51606
207.4366753686587,1,0,2,2,0,0,0.0,7.5,80.0,1.0,5.945242601713193,1.7429559533001753,192.91907482832104,13.410018969093976,427.6656469,7.657710271672656,-0.18049,51.46636
285.0490369011501,1,0,2,2,2,1,0.0,9.0,97.0,1.0,3.221715135334986,1.1521928403615762,334.88186459336424,23.278010018443847,637.3112661574647,11.411590023730508,-0.15,51.483
505.18591688421645,0,0,0,4,0,0,1.0,9.0,90.0,1.0,4.487705802591352,1.9688800310289425,255.9545926884909,17.79168776459168,526.3386622441586,9.42453295,-0.1655,51.4757
142.52451845057504,1,0,2,2,0,0,0.0,10.0,96.0,1.0,4.323865553765411,0.8078530167617568,262.9217658958212,18.27598370554208,560.7279537072864,10.040301909509784,-0.1301,51.54715
310.9198240786472,1,0,2,2,0,0,0.0,9.0,93.0,1.0,5.328496005457987,1.7540018955560663,216.52856613914045,15.05114090900839,468.6252137,8.391125495098455,-0.17501,51.47072
608.9042545685459,0,0,0,4,0,0,0.0,10.0,90.0,1.0,3.5897926867768204,0.2012958281488373,341.8423162389982,23.76183873618198,798.9220665,14.305366259628387,-0.17815,51.51484
207.4366753686587,1,0,2,2,2,1,0.0,10.0,99.0,1.0,5.1166711022157045,1.674405568207107,217.13636202951164,15.093389475804951,465.63220181923566,8.337533119483867,-0.1606,51.46724
194.50128177991016,1,0,2,2,0,1,0.0,10.0,95.0,1.0,3.695674568404821,0.3534061545119305,314.18958168961063,21.83966647,742.3941834896732,13.293187344805393,-0.08567,51.52886
512.9471530374656,0,0,0,4,0,0,0.0,9.0,95.0,1.0,3.545079429639144,0.6763666137395077,321.4566034925435,22.344805221628096,684.3284814688068,12.25347249730651,-0.133,51.54
206.02554152261345,1,0,2,2,2,0,1.0,10.0,97.0,1.0,3.218594462405764,0.4676699493812082,344.6763986948342,23.95883895260204,778.3062662398443,13.936223153216757,-0.0931,51.52771
213.55158870152167,1,0,2,2,2,0,1.0,9.0,96.0,1.0,3.0668835773372183,0.5006692440778359,360.4229611479923,25.05339998231248,804.3987449229205,14.40343075685674,-0.09423,51.52645
215.19791152190783,1,0,2,3,0,0,1.0,9.0,89.0,1.0,3.4817576778384858,0.2254231587072498,353.84947537094774,24.59646969150696,820.6284602940895,14.69403735343283,-0.17693,51.51364
145.34678614266562,1,0,2,2,2,1,0.0,10.0,100.0,1.0,5.689222979454231,0.9231650781945456,191.3528660371822,13.301150058036718,400.05914510145874,7.163392822,-0.12543,51.45721
2173.8516898327807,0,0,0,6,0,1,0.0,10.0,93.0,1.0,4.9096475917409945,0.6866393420488957,264.7404727594979,18.40240403781264,566.7725244280471,10.148534992145612,-0.1858,51.48336
271.87845433806064,1,0,2,5,0,1,0.0,10.0,96.0,1.0,3.776313078556453,0.7728692726416817,287.32839472814254,19.97251555914092,725.6507508351141,12.993382211599789,-0.10344,51.53876
220.3720689574073,1,0,2,2,0,1,0.0,9.0,91.0,1.0,3.783454411931774,0.7803219863336986,286.81044244592533,19.93651212124449,723.5493546800168,12.95575495993672,-0.1035,51.53885
